1	0	-1
2	0	-1
3	0	-1
4	0	-1
5	0	-1
6	0	-1
7	0	-1
8	0	-1
9	0	-3
10	0	-8
11	30	-14
12	32	-28
13	32	-81
14	32	-266
15	34	-397
16	34	-405
17	35	-428
18	46	-506
19	66	-581
20	74	-1663
21	680	-3949
22	1547	-4367
23	1615	-4692
24	1842	-5264
25	2291	-6025
26	5756	-7245
27	6933	-8149
28	7344	-8401
29	7474	-9174
30	8054	-12281
31	9994	-12878
32	10026	-13513
33	10092	-15990
34	10166	-18382
35	10218	-21200
36	10323	-22592
37	10392	-22910
38	10406	-23467
39	10446	-23425
40	10339	-22772
41	9822	-22205
42	9628	-21294
43	9275	-19941
44	9294	-18870
45	9226	-18430
46	7459	-18400
47	6645	-21682
48	5973	-19989
49	5728	-19864
50	5457	-20458
51	5113	-21758
52	3678	-20817
53	3560	-20228
54	3452	-17471
55	3256	-16324
56	3240	-15776
57	3222	-12365
58	3133	-12277
59	3126	-13188
60	3129	-14120
61	3077	-14624
62	3073	-17526
63	3073	-19262
64	3022	-20020
65	2279	-20305
66	2104	-20407
67	1827	-18776
68	1147	-16307
69	708	-16012
70	248	-15993
71	208	-15813
72	184	-14316
73	150	-11724
74	125	-11680
75	108	-10040
76	98	-9998
77	248	-9368
78	383	-9383
79	790	-9403
80	1747	-9261
81	1794	-7297
82	1790	-6485
83	1789	-3626
84	1773	-1903
85	1761	-1257
86	1760	-1294
87	1874	-1066
88	1895	-1185
89	1913	-1370
90	1931	-1469
91	2019	-2320
92	2045	-2416
93	2048	-2610
94	2052	-2845
95	2071	-2782
96	2071	-2584
97	1922	-2385
98	1809	-2301
99	1667	-2252
100	1318	-2242
101	357	-2242
102	338	-2250
103	337	-2310
104	336	-2779
105	340	-3082
106	293	-3186
107	362	-3377
108	770	-3509
109	1279	-3547
110	1282	-3416
111	1234	-3758
112	1223	-3641
113	1190	-2951
114	1187	-2936
115	1188	-2976
116	1167	-3007
117	1148	-3189
118	1149	-13932
119	1148	-17260
120	1148	-27820
121	1149	-35174
122	1150	-35976
123	1151	-37589
124	1150	-38469
125	1141	-38578
126	1073	-39612
127	1033	-39385
128	593	-39884
129	444	-39805
130	100	-40175
131	48	-40257
132	23	-40346
133	16	-40491
134	16	-40415
135	21	-40306
136	73	-40269
137	177	-40399
138	176	-40349
139	177	-39477
140	198	-24664
141	567	-14717
142	1545	-8690
143	2465	-8441
144	2521	-6405
145	2904	-5569
146	2999	-5005
147	3146	-4134
148	3148	-4146
149	3381	-5908
150	3527	-5845
151	3532	-6060
152	3533	-6654
153	3543	-6273
154	3673	-6066
155	3661	-6080
156	3658	-6077
157	3573	-6009
158	3533	-5809
159	3516	-5798
160	3528	-5782
161	2932	-6371
162	2659	-7122
163	2024	-7247
164	1218	-7871
165	1191	-7839
166	710	-7807
167	649	-7770
168	615	-7768
169	580	-6955
170	473	-6028
171	293	-3732
172	237	-2721
173	121	-2653
174	109	-2648
175	102	-2640
176	102	-2660
177	107	-2651
178	104	-2656
179	106	-2664
180	105	-2687
181	93	-2635
182	79	-2030
183	74	-1704
184	80	-1681
185	82	-1071
186	54	-1085
187	51	-1741
188	55	-1898
189	66	-1951
190	66	-1963
191	67	-2067
192	66	-2138
193	80	-3054
194	80	-3116
195	85	-3185
196	90	-3261
197	114	-3617
198	229	-4448
199	566	-6799
200	1385	-7394
201	1509	-8170
202	1606	-9550
203	1622	-21965
204	1623	-35458
205	1643	-37335
206	1649	-38855
207	1783	-40773
208	2031	-41255
209	2274	-43158
210	2704	-46609
211	2882	-48761
212	3640	-50937
213	4073	-53447
214	4902	-54451
215	5631	-54734
216	5788	-56542
217	6036	-65360
218	6009	-76940
219	6265	-78116
220	6223	-75407
221	5832	-75218
222	5750	-74965
223	6126	-74550
224	6710	-64960
225	9043	-48395
226	21069	-44223
227	25286	-43564
228	25593	-43514
229	28283	-41626
230	29783	-40644
231	32451	-40068
232	33620	-38014
233	34293	-33891
234	34431	-32342
235	33607	-31275
236	33038	-30412
237	32791	-30304
238	32714	-54410
239	32746	-56645
240	32792	-57689
241	32518	-58839
242	32545	-65552
243	32491	-67367
244	32179	-67441
245	30004	-67581
246	29363	-67581
247	19265	-67578
248	14056	-67556
249	11650	-67513
250	8274	-67259
251	7410	-66944
252	5872	-64609
253	3969	-64261
254	3970	-64186
255	4886	-64621
256	5470	-64678
257	5633	-61724
258	5859	-58798
259	6472	-58090
260	7491	-22837
261	10649	-14877
262	13461	-11158
263	16944	-7042
264	20367	-2662
265	23007	-2730
266	23802	-3132
267	25988	-3482
268	29399	-3529
269	33282	-3743
270	33746	-5238
271	34179	-7851
272	34992	-8008
273	34897	-8452
274	35917	-8786
275	33606	-8706
276	32935	-10562
277	33177	-11213
278	33210	-13140
279	35597	-14192
280	36038	-14306
281	34806	-14412
282	33128	-14580
283	31043	-14864
284	25698	-15203
285	20642	-15405
286	18871	-15407
287	17790	-15221
288	14642	-14946
289	12311	-14541
290	9882	-14268
291	8469	-14118
292	7977	-11698
293	7488	-10539
294	6929	-10079
295	6033	-9811
296	5527	-9377
297	5140	-8408
298	4803	-7268
299	4669	-6404
300	4029	-5765
301	991	-4960
302	1121	-4802
303	1089	-4818
304	1038	-4481
305	948	-3993
306	844	-3793
307	767	-3760
308	749	-3760
309	707	-3727
310	616	-3728
311	582	-3752
312	576	-3797
313	538	-3718
314	541	-4596
315	1032	-5201
316	1005	-5244
317	1001	-5317
318	1000	-5297
319	1009	-7921
320	1030	-15665
321	1087	-15977
322	945	-19960
323	1452	-30703
324	1952	-36053
325	2005	-39424
326	2061	-48864
327	2176	-61233
328	2246	-63798
329	2322	-65654
330	2600	-66004
331	2745	-66045
332	3280	-66058
333	3359	-66346
334	3343	-66434
335	3557	-66568
336	3976	-65836
337	4464	-65210
338	4711	-65095
339	4705	-64983
340	4699	-64422
341	4677	-59176
342	4627	-51133
343	4353	-47591
344	3866	-37020
345	3550	-33588
346	3444	-25977
347	3354	-20723
348	3291	-10802
349	3181	-3333
350	3051	-2081
351	2905	-1126
352	2717	-923
353	2054	-900
354	1992	-690
355	1979	-432
356	1874	-38
