chrom	start	end	gains	losses
1	11873	14409	0	0
1	14361	29370	0	0
1	17368	17436	0	0
1	17368	17436	0	0
1	17368	17436	0	0
1	17368	17436	0	0
1	30365	30503	0	0
1	30365	30503	0	0
1	30365	30503	0	0
1	30365	30503	0	0
1	34610	36081	0	0
1	34610	36081	0	0
1	69090	70008	0	0
1	134772	140566	0	0
1	323891	328581	0	0
1	323891	328581	0	0
1	323891	328581	0	0
1	367658	368597	0	0
1	367658	368597	0	0
1	367658	368597	0	0
1	562759	564389	0	0
1	567704	567793	0.1501	0
1	621095	622034	0.1501	0
1	621095	622034	0.1501	0
1	621095	622034	0.1501	0
1	661138	665731	0.1501	0
1	700244	714068	0.1501	0
1	752750	755214	0.1501	0
1	761585	762902	0.1501	0
1	762970	778984	0.1501	0
1	762970	794826	0.1501	0
1	762970	794826	0.1501	0
1	762970	794826	0.1501	0
1	762970	794826	0.1501	0
1	763177	794826	0.1501	0
1	803450	812182	0.1501	0
1	852197	855072	0.1501	0
1	852197	855072	0.1501	0
1	861120	879961	0.1501	0
1	879582	894679	0.1501	0
1	895966	901099	0.1501	0
1	901876	910484	0.1501	0
1	901876	910484	0.1501	0
1	910578	917497	0.1501	0
1	910578	917497	0.1501	0
1	934341	935552	0.1501	0
1	934343	935552	0.1501	0
1	948846	949919	0.1501	0
1	955502	991499	0.1501	0
1	955502	991499	0.1501	0
1	1007125	1009687	0.1501	0
1	1017197	1051736	0.1501	0
1	1072396	1079434	0.1501	0
1	1102483	1102578	0.1501	0
1	1103242	1103332	0.1501	0
1	1104384	1104467	0.1501	0
1	1109285	1133313	0.1501	0
1	1115076	1121243	0.1501	0
1	1138887	1142089	0.1501	0
1	1138887	1142089	0.1501	0
1	1138887	1142089	0.1501	0
1	1146705	1149548	0.1501	0
1	1152287	1167447	0.1501	0
1	1152287	1167447	0.1501	0
1	1167628	1170420	0.1501	0
1	1177825	1182102	0.1501	0
1	1189291	1209234	0.1501	0
1	1189291	1209234	0.1501	0
1	1189291	1209234	0.1501	0
1	1189291	1209234	0.1501	0
1	1215815	1227409	0.1501	0
1	1215815	1227409	0.1501	0
1	1227763	1243269	0.1501	0
1	1231489	1231550	0.1501	0
1	1243993	1247057	0.1501	0
1	1246964	1260067	0.1501	0
1	1246964	1260067	0.1501	0
1	1246964	1260067	0.1501	0
1	1246964	1260067	0.1501	0
1	1246964	1260067	0.1501	0
1	1247881	1247946	0.1501	0
1	1260142	1264276	0.1501	0
1	1266725	1269844	0.1501	0
1	1270657	1284492	0.1501	0
1	1275029	1275088	0.1501	0
1	1288068	1293927	0.1501	0
1	1288068	1294174	0.1501	0
1	1288068	1297157	0.1501	0
1	1288068	1298921	0.1501	0
1	1288068	1294174	0.1501	0
1	1309109	1310580	0.1501	0
